,state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,notes,dataQualityGrade,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,checkTimeEt,death,hospitalized,total,totalTestResults,posNeg,fips,dateModified,dateChecked,hash
0,AK,379,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",C,26985.0,,8.0,,,,,,324.0,5/10 14:00,5/10 14:17,10,,27364,27364,27364,2,2020-05-10T18:00:00Z,2020-05-10T18:17:00Z,3911e67200f7306907392fe112ba264ded3567fb
1,AL,9777,1.0,1.0,0.0,1.0,B,3.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,117644.0,,,1240.0,,460.0,,274.0,,5/10 00:00,5/10 16:58,393,1240.0,127421,127421,127421,1,2020-05-10T04:00:00Z,2020-05-10T20:58:00Z,12f8cddf2d3b063801cbf16824b83b7d5bc49e76
2,AR,3747,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A,61781.0,,64.0,471.0,,,14.0,96.0,2968.0,5/10 10:15,5/10 14:21,88,471.0,65528,65528,65528,5,2020-05-10T14:15:00Z,2020-05-10T18:21:00Z,081bd4cd20aa6a542bca18802eaa6e22047e1019
3,AZ,11119,1.0,1.0,0.0,1.0,B,3.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A+,126620.0,,713.0,1528.0,300.0,,195.0,,2775.0,5/10 00:00,5/10 15:34,536,1528.0,137739,137739,137739,4,2020-05-10T04:00:00Z,2020-05-10T19:34:00Z,3b25d816ad17be4f4e46f65aa7ad3cf3a14cad56
4,CA,66680,1.0,1.0,0.0,1.0,B,3.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,888984.0,,4555.0,,1328.0,,,,,5/10 00:00,5/10 15:58,2745,,955664,955664,955664,6,2020-05-10T04:00:00Z,2020-05-10T19:58:00Z,5ea169c63def33bbabfe04640a4c6615d22cd0e9
5,CO,19375,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,81235.0,,790.0,3623.0,,,,,3023.0,5/09 00:00,5/10 17:02,967,3623.0,100610,100610,100610,8,2020-05-09T04:00:00Z,2020-05-10T21:02:00Z,d309d1909882d8a6902f3769b4c91d4fe6236357
6,CT,33554,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,96638.0,,1242.0,9389.0,,,,,5413.0,5/10 14:00,5/10 16:45,2967,9389.0,130192,130192,130192,9,2020-05-10T18:00:00Z,2020-05-10T20:45:00Z,2cb18fc85efd4b3d78abd688690bb7c25ba66365
7,DC,6272,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A+,23298.0,,447.0,,130.0,,91.0,,880.0,5/09 00:00,5/10 16:41,323,,29570,29570,29570,11,2020-05-09T04:00:00Z,2020-05-10T20:41:00Z,f0f1c7586a1aa93cea34b8fbd6ba1f6a19ed5d3c
8,DE,6447,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,24592.0,,285.0,,,,,,2537.0,5/10 12:03,5/10 16:37,224,,31039,31039,31039,10,2020-05-10T16:03:00Z,2020-05-10T20:37:00Z,31fb800d0878b483ffb222216b4f41a05fdb08d2
9,FL,40596,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,498352.0,1265.0,,7404.0,,,,,,5/10 11:52,5/10 17:17,1791,7404.0,540213,538948,538948,12,2020-05-10T15:52:00Z,2020-05-10T21:17:00Z,3d99e67b97822c96dd5dd5c2c1cdfbc4133ee806
10,GA,33441,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A,210106.0,,,5997.0,,1412.0,,,,5/10 15:25,5/10 16:30,1405,5997.0,243547,243547,243547,13,2020-05-10T19:25:00Z,2020-05-10T20:30:00Z,a94ed4be3b493245d193fd4d2bbbf7f6f4d78249
11,HI,631,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,36639.0,,,81.0,,,,,551.0,5/09 18:00,5/10 15:37,17,81.0,37270,37270,37270,15,2020-05-09T22:00:00Z,2020-05-10T19:37:00Z,329ffad5e9267cdbc1306745302e3c992cd0944e
12,IA,11959,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A+,62215.0,,413.0,,157.0,,105.0,,5154.0,5/10 00:00,5/10 15:09,265,,74174,74174,74174,19,2020-05-10T04:00:00Z,2020-05-10T19:09:00Z,269440ad11eb9e17902a95a1fa17f0c01912abbe
13,ID,2230,1.0,1.0,1.0,1.0,A,4.0,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,29912.0,,,207.0,,87.0,,,1473.0,5/09 19:00,5/10 15:18,67,207.0,32142,32142,32142,16,2020-05-09T23:00:00Z,2020-05-10T19:18:00Z,9f26d173b7eebaf2f9428e194a8e47369f4b0086
