,county,state,hazard score,wildfire,tornado,landslide,hurricane,earthquake,drought,heatwave,avalanche,flood
0,Ziebach County,SD,7,1,1,2,0,1,0,1,0,1
1,Zavala County,TX,8,1,1,1,1,1,0,2,0,1
2,Zapata County,TX,10,1,1,1,2,1,0,3,0,1
3,Yuma County,CO,7,1,2,1,0,1,0,1,0,1
4,Yuma County,AZ,11,1,1,1,1,2,1,1,0,3
5,Yuba County,CA,14,3,1,1,0,2,1,3,0,3
6,Young County,TX,11,2,3,1,0,1,0,2,0,2
7,York County,ME,10,1,1,2,2,2,0,1,0,1
8,York County,NE,8,1,3,1,0,1,0,1,0,1
9,York County,PA,11,1,2,2,2,1,0,1,0,2
10,York County,VA,13,1,3,1,3,1,0,1,0,3
11,York County,SC,12,1,2,3,2,1,0,1,0,2
12,Yolo County,CA,13,1,1,2,0,2,1,3,0,3
13,Yoakum County,TX,9,1,2,1,0,1,0,3,0,1
14,Yellowstone County,MT,9,2,1,2,0,1,0,1,0,2
15,Yellow Medicine County,MN,8,1,2,1,0,1,0,2,0,1
16,Yell County,AR,11,1,2,2,1,1,0,3,0,1
17,Yazoo County,MS,12,1,2,2,2,1,0,3,0,1
18,Yavapai County,AZ,12,3,1,1,0,1,1,3,0,2
19,Yates County,NY,7,1,1,1,1,1,0,1,0,1
20,Yankton County,SD,12,1,3,2,0,1,0,2,0,3
21,Yancey County,NC,12,1,1,3,0,2,0,3,0,2
22,Yamhill County,OR,10,1,1,2,0,2,0,1,0,3
23,Yalobusha County,MS,13,2,1,2,2,2,0,3,0,1
24,Yakima County,WA,14,3,1,2,0,2,0,2,2,2
25,Yadkin County,NC,11,1,2,3,0,1,0,3,0,1
26,Wythe County,VA,10,1,0,3,0,1,0,3,0,2
27,Wyoming County,PA,10,1,1,2,2,1,0,1,0,2
28,Wyoming County,WV,10,1,1,3,1,1,0,1,0,2
29,Wyoming County,NY,6,1,1,1,0,1,0,1,0,1
30,Wyandotte County,KS,14,1,3,3,0,1,0,3,0,3
31,Wyandot County,OH,7,1,2,1,0,1,0,1,0,1
32,Wright County,IA,7,1,2,1,0,1,0,1,0,1
33,Wright County,MN,7,1,2,1,0,1,0,1,0,1
34,Wright County,MO,6,1,1,1,0,1,0,1,0,1
35,Worth County,MO,8,1,2,1,0,1,0,2,0,1
36,Worth County,IA,9,1,3,1,0,1,0,2,0,1
37,Worth County,GA,13,2,3,1,3,1,0,2,0,1
38,Worcester County,MA,11,1,2,1,2,1,0,1,0,3
39,Worcester County,MD,11,1,1,1,3,1,0,1,0,3
40,Woodward County,OK,8,1,2,1,0,1,0,2,0,1
41,Woodson County,KS,8,1,1,1,0,1,0,3,0,1
42,Woods County,OK,9,2,2,1,0,1,0,2,0,1
43,Woodruff County,AR,13,1,3,1,2,2,0,3,0,1
44,Woodford County,IL,10,1,3,2,0,1,0,2,0,1
45,Woodford County,KY,11,1,2,1,2,1,0,2,0,2
46,Woodbury County,IA,12,1,3,2,0,1,0,2,0,3
47,Wood County,OH,10,1,2,1,0,1,0,2,0,3
48,Wood County,WI,7,1,1,1,0,1,0,2,0,1
49,Wood County,WV,13,1,1,3,2,1,0,2,0,3
50,Wood County,TX,12,3,3,1,1,1,0,2,0,1
51,Wolfe County,KY,12,2,1,3,1,1,0,3,0,1
52,Wise County,VA,11,1,1,3,0,1,0,3,0,2
53,Wise County,TX,12,2,3,1,1,1,0,3,0,1
54,Wirt County,WV,9,1,0,3,1,1,0,2,0,1
55,Winston County,MS,12,2,2,1,2,1,0,3,0,1
56,Winston County,AL,11,1,2,2,1,1,0,3,0,1
57,Winona County,MN,8,1,1,2,0,1,0,2,0,1
58,Winneshiek County,IA,9,1,2,2,0,1,0,2,0,1
59,Winnebago County,IA,7,1,2,1,0,1,0,1,0,1
60,Winnebago County,WI,10,1,2,2,0,1,0,1,0,3
61,Winnebago County,IL,8,1,1,1,0,1,0,1,0,3
62,Winn Parish,LA,11,3,1,1,1,1,0,3,0,1
63,Winkler County,TX,7,1,1,1,0,1,0,2,0,1
64,Windsor County,VT,10,1,1,2,1,1,0,1,0,3
65,Windham County,CT,9,1,1,1,3,1,0,1,0,1
66,Windham County,VT,11,1,1,2,2,1,0,1,0,3
67,Winchester County,VA,12,1,3,2,0,1,0,2,0,3
68,Wilson County,NC,14,1,2,1,3,1,0,3,0,3
69,Wilson County,KS,9,1,2,1,0,1,0,3,0,1
70,Wilson County,TN,13,1,2,2,1,1,0,3,0,3
