County,State,Hazard Score,Wildfire,Volcano,Tornado,Snowfall,Landslide,Hurricane,Earthquake,Drought,Heatwave,Avalanche,Flood
autauga county,AL,13,Medium,None,Medium,Low,Low,Medium,Low,None,Low,None,High
baldwin county,AL,18,High,None,High,Low,Low,High,Low,None,High,None,High
barbour county,AL,10,Medium,None,Low,Low,Low,Medium,Low,None,Low,None,Low
bibb county,AL,14,Medium,None,Medium,Low,Medium,Low,Medium,None,High,None,Low
blount county,AL,13,Low,None,High,Low,High,Low,Low,None,Medium,None,Low
bullock county,AL,12,Medium,None,Low,Low,Low,Medium,Low,None,High,None,Low
butler county,AL,12,Medium,None,Medium,Low,Low,Medium,Low,None,Medium,None,Low
calhoun county,AL,16,Medium,None,High,Low,Medium,Medium,Low,None,Medium,None,High
chambers county,AL,12,Medium,None,Low,Low,Low,Medium,Low,None,High,None,Low
cherokee county,AL,13,Medium,None,Low,Low,Medium,Low,Medium,None,Low,None,High
chilton county,AL,13,Medium,None,Medium,Low,Medium,Medium,Low,None,Medium,None,Low
choctaw county,AL,12,Medium,None,Low,Low,Low,Medium,Low,None,High,None,Low
clarke county,AL,12,Medium,None,Medium,Low,Low,Medium,Low,None,Medium,None,Low
clay county,AL,10,Medium,None,Medium,Low,Low,Low,Low,None,Low,None,Low
cleburne county,AL,14,Medium,None,Medium,Low,Medium,Medium,Low,None,High,None,Low
coffee county,AL,15,Low,None,High,Low,Low,High,Low,None,High,None,Medium
colbert county,AL,14,Low,None,High,Low,Medium,Low,Medium,None,High,None,Low
conecuh county,AL,15,High,None,Medium,Low,Low,High,Low,None,High,None,Low
coosa county,AL,11,Medium,None,Low,Low,Low,Medium,Low,None,Medium,None,Low
covington county,AL,13,Medium,None,Medium,Low,Low,Medium,Low,None,High,None,Low
crenshaw county,AL,12,Medium,None,Medium,Low,Low,Medium,Low,None,Medium,None,Low
cullman county,AL,14,Low,None,High,Low,High,Low,Low,None,High,None,Low
dale county,AL,15,Low,None,High,Low,Low,High,Low,None,High,None,Medium
dallas county,AL,13,Low,None,Medium,Low,Low,Medium,Low,None,Medium,None,High
dekalb county,AL,16,Medium,None,High,Low,High,Low,Medium,None,Medium,None,Medium
elmore county,AL,12,Low,None,Medium,Low,Low,Medium,Low,None,Low,None,High
escambia county,AL,16,High,None,Medium,Low,Low,High,Low,None,High,None,Medium
etowah county,AL,16,Low,None,High,Low,High,Medium,Medium,None,Medium,None,Medium
fayette county,AL,15,Medium,None,High,Low,Medium,Medium,Medium,None,Medium,None,Low
franklin county,AL,12,Low,None,Medium,Low,Medium,Low,Medium,None,Medium,None,Low
geneva county,AL,14,Low,None,Medium,Low,Low,High,Low,None,High,None,Medium
greene county,AL,11,Low,None,Low,Low,Low,Medium,Low,None,Low,None,High
hale county,AL,12,Low,None,Medium,Low,Low,Medium,Low,None,High,None,Low
henry county,AL,13,Low,None,High,Low,Low,High,Low,None,Medium,None,Low
houston county,AL,14,Low,None,High,Low,Low,High,Low,None,Medium,None,Medium
jackson county,AL,13,Low,None,Medium,Low,Medium,Low,Medium,None,Medium,None,Medium
jefferson county,AL,17,Medium,None,High,Low,High,Low,Medium,None,Medium,None,High
lamar county,AL,15,Medium,None,High,Low,Medium,Medium,Low,None,High,None,Low
lauderdale county,AL,13,Low,None,High,Low,Low,Low,Medium,None,High,None,Low
lawrence county,AL,10,Low,None,Medium,Low,Medium,Low,Low,None,Low,None,Low
lee county,AL,12,Low,None,Medium,Low,Low,Medium,Low,None,High,None,Low
limestone county,AL,12,Low,None,High,Low,Low,Low,Low,None,Medium,None,Medium
lowndes county,AL,15,Medium,None,Medium,Low,Low,Medium,Low,None,High,None,High
macon county,AL,12,Low,None,Low,Low,Low,Medium,Low,None,Medium,None,High
madison county,AL,14,Low,None,High,Low,Medium,Medium,Low,None,Low,None,High
marengo county,AL,12,Low,None,Medium,Low,Low,Medium,Low,None,High,None,Low
marion county,AL,10,Medium,None,Medium,Low,Low,Low,Low,None,Low,None,Low
marshall county,AL,11,Low,None,High,Low,Medium,Low,Low,None,Low,None,Low
mobile county,AL,19,High,None,High,Low,Medium,High,Low,None,High,None,High
monroe county,AL,13,Medium,None,Medium,Low,Low,High,Low,None,Medium,None,Low
montgomery county,AL,12,Low,None,Medium,Low,Low,Medium,Low,None,Low,None,High
morgan county,AL,15,Low,None,High,Low,Medium,Low,Low,None,High,None,High
perry county,AL,12,Medium,None,Low,Low,Medium,Medium,Low,None,Medium,None,Low
pickens county,AL,14,Low,None,Medium,Low,Low,Medium,Low,None,High,None,High
pike county,AL,11,Low,None,High,Low,Low,Medium,Low,None,Low,None,Low
randolph county,AL,11,Medium,None,Low,Low,Low,Medium,Low,None,Medium,None,Low
russell county,AL,16,Medium,None,High,Low,Medium,Medium,Low,None,Medium,None,High
shelby county,AL,15,Low,None,Medium,Low,Medium,Medium,Medium,None,Medium,None,High
st. clair county,AL,14,Low,None,High,Low,Medium,Low,Medium,None,High,None,Low
sumter county,AL,12,Low,None,Low,Low,Low,Medium,Low,None,High,None,Medium
talladega county,AL,15,Medium,None,High,Low,Medium,Medium,Low,None,Medium,None,Medium
tallapoosa county,AL,11,Low,None,Medium,Low,Low,Medium,Low,None,Medium,None,Low
tuscaloosa county,AL,16,Low,None,High,Low,Medium,Medium,Medium,None,High,None,Medium
walker county,AL,17,Medium,None,High,Low,High,Medium,Medium,None,High,None,Low
washington county,AL,13,High,None,Medium,Low,Medium,Medium,Low,None,Low,None,Low
wilcox county,AL,12,Medium,None,Low,Low,Low,Medium,Low,None,High,None,Low
winston county,AL,12,Low,None,Medium,Low,Medium,Low,Low,None,High,None,Low
arkansas county,AR,13,Low,None,Medium,Low,Low,Low,Medium,None,High,None,Medium
ashley county,AR,13,Low,None,Medium,Low,Low,Medium,Low,None,High,None,Medium
baxter county,AR,13,Low,None,Medium,Low,Low,Low,Medium,None,High,None,Medium
benton county,AR,11,Medium,None,High,Low,Low,None,Low,None,Medium,None,Low
boone county,AR,10,Low,None,Medium,Low,Low,Low,Low,None,Medium,None,Low
bradley county,AR,12,Medium,None,Medium,Low,Low,Low,Low,None,High,None,Low
calhoun county,AR,12,High,None,Medium,Low,Low,Low,Low,None,Medium,None,Low
carroll county,AR,9,Low,None,Medium,Low,Medium,None,Low,None,Low,None,Low
chicot county,AR,13,Low,None,Medium,Low,Medium,Medium,Low,None,High,None,Low
clark county,AR,10,Medium,None,Medium,Low,Low,Low,Low,None,Low,None,Low
clay county,AR,11,Low,None,Medium,Low,Low,Low,High,None,Low,None,Low
cleburne county,AR,14,Low,None,Medium,Low,Medium,None,Medium,None,High,None,High
cleveland county,AR,12,Medium,None,Low,Low,Low,Medium,Low,None,High,None,Low
columbia county,AR,14,High,None,High,Low,Low,Medium,Low,None,Medium,None,Low
conway county,AR,14,Low,None,High,Low,High,None,Medium,None,High,None,Low
craighead county,AR,13,Low,None,Medium,Low,Low,None,High,None,High,None,Medium
crawford county,AR,11,Medium,None,Medium,Low,Medium,None,Low,None,Medium,None,Low
crittenden county,AR,16,Low,None,Medium,Low,Medium,Low,High,None,High,None,High
cross county,AR,13,Low,None,Medium,Low,Low,None,High,None,High,None,Medium
dallas county,AR,13,High,None,Medium,Low,Low,Medium,Low,None,Medium,None,Low
desha county,AR,15,Low,None,Medium,Low,Medium,Medium,Medium,None,High,None,Medium
drew county,AR,11,Low,None,Medium,Low,Low,Low,Low,None,High,None,Low
faulkner county,AR,16,Low,None,High,Low,High,None,Medium,None,High,None,High
franklin county,AR,12,Medium,None,Medium,Low,Medium,Low,Low,None,Medium,None,Low
fulton county,AR,10,Low,None,Medium,Low,Low,Low,Medium,None,Low,None,Low
garland county,AR,13,Low,None,High,Low,Medium,Low,Low,None,High,None,Low
