County,State,Hazard Score,Wildfire,Volcano,Tornado,Snowfall,Landslide,Hurricane,Earthquake,Drought,Heatwave,Avalanche,Flood
Ziebach,South Dakota,9,Low,None,Low,Medium,Medium,None,Low,None,Low,None,Low
Zavala,Texas,9,Low,None,Low,Low,Low,Low,Low,None,Medium,None,Low
Zapata,Texas,11,Low,None,Low,Low,Low,Medium,Low,None,High,None,Low
Yuma,Colorado,9,Low,None,Medium,Medium,Low,None,Low,None,Low,None,Low
Yuma,Arizona,12,Low,None,Low,Low,Low,Low,Medium,Low,Low,None,High
Yuba,California,15,High,None,Low,Low,Low,None,Medium,Low,High,None,High
Young,Texas,12,Medium,None,High,Low,Low,None,Low,None,Medium,None,Medium
York,Maine,13,Low,None,Low,High,Medium,Medium,Medium,None,Low,None,Low
York,Nebraska,10,Low,None,High,Medium,Low,None,Low,None,Low,None,Low
York,Pennsylvania,13,Low,None,Medium,Medium,Medium,Medium,Low,None,Low,None,Medium
York,Virginia,14,Low,None,High,Low,Low,High,Low,None,Low,None,High
York,South Carolina,13,Low,None,Medium,Low,High,Medium,Low,None,Low,None,Medium
Yolo,California,14,Low,None,Low,Low,Medium,None,Medium,Low,High,None,High
Yoakum,Texas,10,Low,None,Medium,Low,Low,None,Low,None,High,None,Low
Yellowstone,Montana,11,Medium,None,Low,Medium,Medium,None,Low,None,Low,None,Medium
Yellow Medicine,Minnesota,10,Low,None,Medium,Medium,Low,None,Low,None,Medium,None,Low
Yell,Arkansas,12,Low,None,Medium,Low,Medium,Low,Low,None,High,None,Low
Yazoo,Mississippi,13,Low,None,Medium,Low,Medium,Medium,Low,None,High,None,Low
Yavapai,Arizona,13,High,None,Low,Low,Low,None,Low,Low,High,None,Medium
Yates,New York,10,Low,None,Low,High,Low,Low,Low,None,Low,None,Low
Yankton,South Dakota,14,Low,None,High,Medium,Medium,None,Low,None,Medium,None,High
Yancey,North Carolina,14,Low,None,Low,Medium,High,None,Medium,None,High,None,Medium
Yamhill,Oregon,12,Low,None,Low,Medium,Medium,None,Medium,None,Low,None,High
Yalobusha,Mississippi,14,Medium,None,Low,Low,Medium,Medium,Medium,None,High,None,Low
Yakima,Washington,18,High,Medium,Low,Medium,Medium,None,Medium,None,Medium,Medium,Medium
Yadkin,North Carolina,12,Low,None,Medium,Low,High,None,Low,None,High,None,Low
Wythe,Virginia,12,Low,None,None,Medium,High,None,Low,None,High,None,Medium
Wyoming,Pennsylvania,12,Low,None,Low,Medium,Medium,Medium,Low,None,Low,None,Medium
Wyoming,West Virginia,12,Low,None,Low,Medium,High,Low,Low,None,Low,None,Medium
Wyoming,New York,9,Low,None,Low,High,Low,None,Low,None,Low,None,Low
Wyandotte,Kansas,16,Low,None,High,Medium,High,None,Low,None,High,None,High
Wyandot,Ohio,9,Low,None,Medium,Medium,Low,None,Low,None,Low,None,Low
Wright,Iowa,9,Low,None,Medium,Medium,Low,None,Low,None,Low,None,Low
Wright,Minnesota,9,Low,None,Medium,Medium,Low,None,Low,None,Low,None,Low
Wright,Missouri,8,Low,None,Low,Medium,Low,None,Low,None,Low,None,Low
Worth,Missouri,10,Low,None,Medium,Medium,Low,None,Low,None,Medium,None,Low
Worth,Iowa,11,Low,None,High,Medium,Low,None,Low,None,Medium,None,Low
Worth,Georgia,14,Medium,None,High,Low,Low,High,Low,None,Medium,None,Low
Worcester,Massachusetts,14,Low,None,Medium,High,Low,Medium,Low,None,Low,None,High
Worcester,Maryland,12,Low,None,Low,Low,Low,High,Low,None,Low,None,High
Woodward,Oklahoma,10,Low,None,Medium,Medium,Low,None,Low,None,Medium,None,Low
Woodson,Kansas,10,Low,None,Low,Medium,Low,None,Low,None,High,None,Low
Woods,Oklahoma,11,Medium,None,Medium,Medium,Low,None,Low,None,Medium,None,Low
Woodruff,Arkansas,14,Low,None,High,Low,Low,Medium,Medium,None,High,None,Low
Woodford,Illinois,12,Low,None,High,Medium,Medium,None,Low,None,Medium,None,Low
Woodford,Kentucky,12,Low,None,Medium,Low,Low,Medium,Low,None,Medium,None,Medium
Woodbury,Iowa,14,Low,None,High,Medium,Medium,None,Low,None,Medium,None,High
Wood,Ohio,12,Low,None,Medium,Medium,Low,None,Low,None,Medium,None,High
Wood,Wisconsin,9,Low,None,Low,Medium,Low,None,Low,None,Medium,None,Low
Wood,West Virginia,15,Low,None,Low,Medium,High,Medium,Low,None,Medium,None,High
Wood,Texas,13,High,None,High,Low,Low,Low,Low,None,Medium,None,Low
Wolfe,Kentucky,14,Medium,None,Low,Medium,High,Low,Low,None,High,None,Low
Wise,Virginia,13,Low,None,Low,Medium,High,None,Low,None,High,None,Medium
Wise,Texas,13,Medium,None,High,Low,Low,Low,Low,None,High,None,Low
Wirt,West Virginia,11,Low,None,None,Medium,High,Low,Low,None,Medium,None,Low
Winston,Mississippi,13,Medium,None,Medium,Low,Low,Medium,Low,None,High,None,Low
Winston,Alabama,12,Low,None,Medium,Low,Medium,Low,Low,None,High,None,Low
Winona,Minnesota,10,Low,None,Low,Medium,Medium,None,Low,None,Medium,None,Low
Winneshiek,Iowa,11,Low,None,Medium,Medium,Medium,None,Low,None,Medium,None,Low
Winnebago,Iowa,9,Low,None,Medium,Medium,Low,None,Low,None,Low,None,Low
Winnebago,Wisconsin,12,Low,None,Medium,Medium,Medium,None,Low,None,Low,None,High
Winnebago,Illinois,10,Low,None,Low,Medium,Low,None,Low,None,Low,None,High
Winn,Louisiana,12,High,None,Low,Low,Low,Low,Low,None,High,None,Low
Winkler,Texas,8,Low,None,Low,Low,Low,None,Low,None,Medium,None,Low
Windsor,Vermont,13,Low,None,Low,High,Medium,Low,Low,None,Low,None,High
Windham,Connecticut,11,Low,None,Low,Medium,Low,High,Low,None,Low,None,Low
Windham,Vermont,14,Low,None,Low,High,Medium,Medium,Low,None,Low,None,High
Winchester,Virginia,14,Low,None,High,Medium,Medium,None,Low,None,Medium,None,High
Wilson,North Carolina,15,Low,None,Medium,Low,Low,High,Low,None,High,None,High
Wilson,Kansas,11,Low,None,Medium,Medium,Low,None,Low,None,High,None,Low
Wilson,Tennessee,14,Low,None,Medium,Low,Medium,Low,Low,None,High,None,High
